fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1785,-1090.9,0.0,-1090.9,0.0,-1,1,0.0,0.0,,,,,-0.0061
Wide Leg,1787,0.0,1181.81,-1181.81,0.0,0,2,0.0,1181.81,1.0,,1.0,0.0,0.0
Wide Leg,1788,4306.2364,4306.2364,0.0,0.0,4,4,2008.5793,2297.6571,0.0671,1.1439,0.0,0.0,0.0242
Wide Leg,1790,2421.87,3421.86,-999.99,577.2636,3,5,1318.17,2103.69,0.2296,1.5959,0.2922,0.1443,0.0136
Wide Leg,1791,3837.859,4619.669,-781.81,0.0,3,5,2239.6939,2379.9751,0.0304,1.0626,0.1692,0.0,0.0215
Wide Leg,1792,879.8325,879.8325,0.0,700.0,2,2,334.3825,545.45,0.2399,1.6312,0.0,0.4431,0.0049
Wide Leg,1804,3394.7858,5340.2258,-1945.44,318.1818,3,7,2090.89,3249.3358,0.2169,1.554,0.3643,0.0562,0.019
Wide Leg,1812,-951.0933,4480.6767,-5431.77,-295.4546,-1,9,0.0,4480.6767,1.0,,1.2123,0.0,-0.0053
Wide Leg,1817,620.61,3454.52,-2833.91,-220.6091,0,6,1090.9,2363.62,0.3684,2.1667,0.8203,0.0,0.0035
Wide Leg,1829,1489.1,2545.44,-1056.34,-452.7273,0,4,0.0,2545.44,1.0,,0.415,0.0,0.0084
Wide Leg,1831,4454.51,5636.32,-1181.81,0.0,4,6,2090.89,3545.43,0.2581,1.6957,0.2097,0.0,0.025
Wide Leg,1832,3285.8167,4290.3567,-1004.54,106.3636,3,5,1090.9,3199.4567,0.4915,2.9329,0.2341,0.062,0.0184
Wide Leg,1833,1927.439,4291.059,-2363.62,425.1364,2,6,881.989,3409.07,0.5889,3.8652,0.5508,0.0901,0.0108
Wide Leg,1834,-1893.5827,2806.3673,-4699.95,-300.0,-2,8,0.0,2806.3673,1.0,,1.6747,0.0,-0.0106
Wide Leg,1836,5342.5437,5342.5437,0.0,1136.1909,8,8,1781.8,3560.7437,0.333,1.9984,0.0,0.1754,0.03
Wide Leg,1839,8244.0111,8944.0011,-699.99,-100.0727,7,9,3130.7961,5813.205,0.2999,1.8568,0.0783,0.0219,0.0462
Wide Leg,1847,4618.14,6454.49,-1836.35,0.0,4,8,999.99,5454.5,0.6901,5.4546,0.2845,0.0,0.0259
Wide Leg,1848,5536.32,6627.22,-1090.9,0.0,5,7,1909.07,4718.15,0.4239,2.4714,0.1646,0.0,0.031
Wide Leg,1850,1454.54,2363.62,-909.08,0.0,1,3,0.0,2363.62,1.0,,0.3846,0.0,0.0082
Wide Leg,1851,765.3074,2265.2974,-1499.99,535.9546,1,5,964.05,1301.2474,0.1489,1.3498,0.6622,0.252,0.0043
Wide Leg,1854,1491.8282,2855.4582,-1363.63,208.1546,2,4,310.0182,2545.44,0.7829,8.2106,0.4776,0.0679,0.0084
Wide Leg,1858,427.26,427.26,0.0,0.0,1,1,427.26,0.0,-1.0,0.0,0.0,0.0,0.0024
Wide Leg,1861,2090.89,2090.89,0.0,0.0,2,2,2090.89,0.0,-1.0,0.0,0.0,0.0,0.0117
Wide Leg,1863,2295.44,5636.32,-3340.88,-204.5454,2,8,3090.88,2545.44,-0.0968,0.8235,0.5927,0.0,0.0129
Wide Leg,1869,3445.0491,4425.4191,-980.37,-201.4364,3,5,999.99,3425.4291,0.5481,3.4255,0.2215,0.0,0.0193
Wide Leg,1872,4954.5,4954.5,0.0,227.2727,5,5,3772.69,1181.81,-0.5229,0.3133,0.0,0.0439,0.0278
Wide Leg,1874,3374.15,5319.59,-1945.44,-327.2727,3,7,4090.87,1228.72,-0.538,0.3004,0.3657,0.0,0.0189
Wide Leg,1877,1999.98,3363.61,-1363.63,0.0,2,4,2181.8,1181.81,-0.2973,0.5417,0.4054,0.0,0.0112
Wide Leg,1878,1090.9,1090.9,0.0,0.0,1,1,1090.9,0.0,-1.0,0.0,0.0,0.0,0.0061
