store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1532,2025-01,2035.13307,3216.9430700000003,-1181.81,2,4,True
1533,2024-02,226.30453,2789.91453,-2563.61,0,6,True
1533,2024-03,2004.7425600000001,2702.9125599999998,-698.17,2,4,True
1533,2024-04,521.1344300000001,4502.89443,-3981.76,0,10,True
1533,2024-05,2579.51643,6870.37643,-4290.860000000001,2,12,True
1533,2024-06,5931.77,9204.460000000001,-3272.69,5,13,True
1533,2024-07,7241.59627,11241.556270000001,-3999.96,8,16,True
1533,2024-08,6119.487650000001,14576.21765,-8456.73,7,25,True
1533,2024-09,17711.57,22311.52,-4599.95,17,27,True
1533,2024-10,13742.08,21020.8,-7278.72,13,27,True
1533,2024-11,10563.393,14809.813,-4246.42,11,19,True
1533,2024-12,9052.86,16140.78,-7087.92,8,22,True
1533,2025-01,10235.87917,14872.20917,-4636.33,9,17,True
1534,2024-02,2289.6027299999996,4835.02273,-2545.42,3,9,True
1534,2024-03,1932.00567,2750.17567,-818.17,2,4,True
1534,2024-04,4262.5599999999995,5909.01,-1646.45,5,9,True
1534,2024-05,-90.91000000000008,818.17,-909.08,0,2,True
1534,2024-06,1547.71,2456.79,-909.08,3,5,True
1534,2024-07,2936.33,3636.32,-699.99,3,5,True
1534,2024-08,-1102.2699999999995,4272.68,-5374.95,-1,11,True
1534,2024-09,7401.39,8401.380000000001,-999.99,7,9,True
1534,2024-10,2080.16,7261.93,-5181.77,2,12,True
1534,2024-11,5549.4800000000005,7554.01,-2004.53,5,9,True
1534,2024-12,3531.18652,4622.086520000001,-1090.9,3,5,True
1534,2025-01,7987.63,8415.4,-427.77,6,8,True
1535,2024-02,-745.4500000000002,1163.62,-1909.0700000000002,0,4,True
1535,2024-03,2727.24,2727.24,0.0,3,3,True
1535,2024-04,492.42,1727.25,-1234.83,0,4,True
1535,2024-05,-1099.98,0.0,-1099.98,-2,2,True
1535,2024-06,3743.7200000000003,4834.620000000001,-1090.9,4,6,True
1535,2024-07,2228.55,2928.54,-699.99,2,4,True
1535,2024-08,1090.9,1090.9,0.0,1,1,True
1535,2024-09,7636.3,7636.3,0.0,7,7,True
1535,2024-10,6349.2300000000005,6349.2300000000005,0.0,6,6,True
1535,2024-11,5298.14,5298.14,0.0,5,5,True
1535,2024-12,2797.21,4979.01,-2181.8,3,7,True
1535,2025-01,5954.51,5954.51,0.0,5,5,True
1536,2024-02,76.90999999999997,1622.34,-1545.4299999999998,0,4,True
1536,2024-03,2963.6000000000004,4363.58,-1399.98,3,7,True
1536,2024-04,2909.06,3909.05,-999.99,3,5,True
1536,2024-05,1090.9,1090.9,0.0,1,1,True
1536,2024-06,1909.0700000000002,1909.0700000000002,0.0,2,2,True
1536,2024-07,2090.8900000000003,2090.8900000000003,0.0,2,2,True
1536,2024-08,3090.88,3090.88,0.0,3,3,True
1536,2024-09,9237.79631,11146.866310000001,-1909.0700000000002,8,12,True
1536,2024-10,1902.4195600000003,6556.91956,-4654.5,1,11,True
1536,2024-11,51.15999999999997,2839.36,-2788.2,0,6,True
1536,2024-12,4525.42,4525.42,0.0,4,4,True
1536,2025-01,1272.72,2545.44,-1272.72,1,3,True
1538,2024-02,-36.360000000000014,1690.8899999999999,-1727.25,0,4,True
1538,2024-03,2673.45262,4982.5126199999995,-2309.06,3,9,True
1538,2024-04,755.7696499999998,6210.24965,-5454.4800000000005,1,13,True
1538,2024-05,-1538.89891,4551.9510900000005,-6090.85,-1,11,True
1538,2024-06,31.679999999999836,5405.36,-5373.68,0,12,True
1538,2024-07,2220.77,3766.2,-1545.4299999999998,2,6,True
1538,2024-08,4834.77,7480.2,-2645.4300000000003,5,11,True
1538,2024-09,15399.880000000001,17490.77,-2090.8900000000003,14,18,True
1538,2024-10,15299.85726,19663.45726,-4363.6,15,23,True
1538,2024-11,6537.83,8446.9,-1909.0700000000002,6,10,True
1538,2024-12,388.4376299999999,10305.86763,-9917.43,0,18,True
1538,2025-01,8168.52,9043.93,-875.41,7,9,True
1539,2024-02,1090.9,1090.9,0.0,1,1,True
1539,2024-03,454.55000000000007,1090.9,-636.35,0,2,True
1539,2024-04,2818.15,3727.23,-909.08,3,5,True
1539,2024-05,1636.34,1636.34,0.0,2,2,True
1539,2024-06,964.05,2964.03,-1999.98,1,5,True
1539,2024-07,1145.44,1145.44,0.0,2,2,True
1539,2024-08,999.99,999.99,0.0,1,1,True
1539,2024-09,4149.6900000000005,4149.6900000000005,0.0,4,4,True
1539,2024-10,3930.79364,3930.79364,0.0,4,4,True
1539,2024-11,2181.8,3272.7000000000003,-1090.9,2,4,True
1539,2024-12,181.81999999999994,1272.72,-1090.9,0,2,True
1539,2025-01,2363.62,2363.62,0.0,2,2,True
1540,2024-02,1727.25,3363.59,-1636.34,2,6,True
1540,2024-03,2481.79,4209.04,-1727.25,3,7,True
1540,2024-04,5602.86167,7330.11167,-1727.25,6,10,True
1540,2024-05,181.81999999999982,2727.24,-2545.42,0,6,True
1540,2024-06,4272.96,5727.21,-1454.25,4,8,True
1540,2024-07,-2572.6899999999996,2572.7000000000003,-5145.39,-3,9,True
1540,2024-08,4745.41,4745.41,0.0,5,5,True
1540,2024-09,4763.59,10399.91,-5636.32,5,15,True
1540,2024-10,8589.76323,11771.55323,-3181.79,8,14,True
1540,2024-11,12035.64815,15299.258150000001,-3263.61,11,17,True
1540,2024-12,1542.9,3679.25,-2136.35,1,5,True
1540,2025-01,3140.82462,5439.284619999999,-2298.46,2,8,True
1541,2024-02,0.0,0.0,0.0,0,0,False
1541,2024-03,36.360000000000014,818.17,-781.81,0,2,True
1541,2024-04,1818.1599999999999,2545.42,-727.26,2,4,True
1541,2024-05,-909.08,0.0,-909.08,-1,1,True
1541,2024-06,1999.98,2818.15,-818.17,2,4,True
1541,2024-07,572.72,1145.44,-572.72,1,3,True
1541,2024-08,5909.09348,8127.24348,-2218.15,5,11,True
1541,2024-09,9636.28,9636.28,0.0,9,9,True
1541,2024-10,3411.44305,3411.44305,0.0,3,3,True
